queueId,priority,priorityReason,decision,recommendedAction,source,sourceId,relatedSourceId,name,category,categoryEligibility,newTier,latitude,longitude,canonicalId,canonicalName,evidence,reviewerDecision,reviewerNotes
MATCH:overture:overture:cbf08eb7-c024-4980-b0a8-d5d522dff09f,P2,strong_new_traveler_candidate,NEW_CANDIDATE,CREATE_NEW,overture,overture:cbf08eb7-c024-4980-b0a8-d5d522dff09f,,Laluna Bar and Restaurant,restaurant,TRAVELER_RELEVANT,NEW_TIER_A_STRONG,16.00322541,108.26524099,google_maps_5056,Anh Tuyet Restaurant - Coffee,"{""confidence"":0.6177,""reasonCodes"":[""no_credible_canonical_match""]}",,
MATCH:overture:overture:d0023b13-852c-4d01-857f-5f5187feb5c2,P2,strong_new_traveler_candidate,NEW_CANDIDATE,CREATE_NEW,overture,overture:d0023b13-852c-4d01-857f-5f5187feb5c2,,57 Cafe and Apartment,holiday,TRAVELER_RELEVANT,NEW_TIER_A_STRONG,16.02605332,108.23939622,,,"{""confidence"":0,""reasonCodes"":[""no_credible_canonical_match""]}",,
MATCH:overture:overture:d1627b37-ff57-409a-9f1c-41ae86583548,P1,high_value_probable_match,PROBABLE_MATCH,ENRICH_EXISTING,overture,overture:d1627b37-ff57-409a-9f1c-41ae86583548,,The 59 Cafe,cafe,TRAVELER_RELEVANT,,16.07192941,108.21739413,google_maps_1914,The 59 cafe,"{""confidence"":0.9775,""reasonCodes"":[""exact_name_threshold_edge"",""category_compatible""]}",,
MATCH:overture:overture:d3a57c18-a885-48c8-89bf-485bc5e7022d,P2,strong_new_traveler_candidate,NEW_CANDIDATE,CREATE_NEW,overture,overture:d3a57c18-a885-48c8-89bf-485bc5e7022d,,ELC Da Nang Hotel,accommodation,TRAVELER_RELEVANT,NEW_TIER_A_STRONG,16.04158981,108.24836873,google_maps_4813,DS HOTEL ĐÀ NẴNG,"{""confidence"":0.3867,""reasonCodes"":[""incompatible_category"",""no_credible_canonical_match""]}",,
MATCH:overture:overture:d404cd99-fc33-4707-9258-225117f6a084,P0,potential_false_merge_or_chain_collision,AMBIGUOUS,DEFER,overture,overture:d404cd99-fc33-4707-9258-225117f6a084,,Đồng Tiến Bakery,bakery,TRAVELER_RELEVANT,,16.06204543,108.21850617,google_maps_1938,Đồng Tiến Bakery,"{""confidence"":0.999,""reasonCodes"":[""chain_branch_collision"",""branch_token_required""]}",,
MATCH:overture:overture:d75ae965-dcac-4d00-91aa-3c5b3534780a,P2,strong_new_traveler_candidate,NEW_CANDIDATE,CREATE_NEW,overture,overture:d75ae965-dcac-4d00-91aa-3c5b3534780a,,Texas Restaurant and Pub,bar,TRAVELER_RELEVANT,NEW_TIER_A_STRONG,16.06152103,108.24523587,google_maps_2896,Indus Indian Restaurant - Nhà hàng Ấn Độ - 인도 음식점,"{""confidence"":0.28,""reasonCodes"":[""incompatible_category"",""no_credible_canonical_match""]}",,
MATCH:overture:overture:de2c1881-bef8-4fdd-9435-49690f7a6d88,P0,potential_false_merge_or_chain_collision,AMBIGUOUS,DEFER,overture,overture:de2c1881-bef8-4fdd-9435-49690f7a6d88,,Mì Quảng Bà Mua - Ông Ích Đường,restaurant,TRAVELER_RELEVANT,,16.014046256430646,108.20568082033806,foody_1118,Mì Quảng Bà Mua - Ông Ích Đường,"{""confidence"":0.8882,""reasonCodes"":[""multiple_probable_candidates""]}",,
MATCH:overture:overture:e1a72ecc-ce0d-40fb-87e6-b21fca140423,P1,high_value_probable_match,PROBABLE_MATCH,ENRICH_EXISTING,overture,overture:e1a72ecc-ce0d-40fb-87e6-b21fca140423,,Trà sữa Torani,cafe,TRAVELER_RELEVANT,,16.07174783,108.1790621,google_maps_1083,Trà sữa FOR YOU,"{""confidence"":0.7886,""reasonCodes"":[""nearby_coordinates"",""category_compatible""]}",,
MATCH:overture:overture:e9c64e98-53a3-4299-a04a-70532383527a,P0,high_confidence_gate_not_met,HIGH_CONFIDENCE_MATCH,ENRICH_EXISTING,overture,overture:e9c64e98-53a3-4299-a04a-70532383527a,,Mai Café,cafe,TRAVELER_RELEVANT,,16.01288222,108.18101775,google_maps_3334,Mai Café,"{""confidence"":0.9887,""reasonCodes"":[""tight_distance"",""strong_name_similarity"",""category_compatible""]}",,
MATCH:overture:overture:eac22566-1334-4733-91aa-6c0affdaef74,P2,strong_new_traveler_candidate,NEW_CANDIDATE,CREATE_NEW,overture,overture:eac22566-1334-4733-91aa-6c0affdaef74,,43 Garden,bar,TRAVELER_RELEVANT,NEW_TIER_A_STRONG,16.04444012,108.2244338,,,"{""confidence"":0,""reasonCodes"":[""no_credible_canonical_match""]}",,
MATCH:overture:overture:ebaf3683-0b95-4863-ae4e-077059b67a53,P4,new_traveler_candidate_needs_evidence,NEW_CANDIDATE,CREATE_NEW,overture,overture:ebaf3683-0b95-4863-ae4e-077059b67a53,,Tuong Khi O Do Cao 564m So Voi Nuoc Bien,attraction,TRAVELER_RELEVANT,NEW_TIER_B_REVIEW,16.135047941890658,108.24563957192477,,,"{""confidence"":0,""reasonCodes"":[""no_credible_canonical_match""]}",,
MATCH:overture:overture:ebc7966f-cfac-4a2a-ac8e-a13e24dfa9e1,P0,high_confidence_gate_not_met,HIGH_CONFIDENCE_MATCH,ENRICH_EXISTING,overture,overture:ebc7966f-cfac-4a2a-ac8e-a13e24dfa9e1,,Nhà Hàng Sơn Trang,restaurant,TRAVELER_RELEVANT,,16.03508337,108.17999507,google_maps_3292,Nhà Hàng Sơn Trang,"{""confidence"":0.9982,""reasonCodes"":[""tight_distance"",""strong_name_similarity"",""category_compatible""]}",,
MATCH:overture:overture:ef1441e8-b66e-4d29-8717-6d3f42d638c7,P1,high_value_probable_match,PROBABLE_MATCH,ENRICH_EXISTING,overture,overture:ef1441e8-b66e-4d29-8717-6d3f42d638c7,,Nhà Hàng Bếp Xưa,restaurant,TRAVELER_RELEVANT,,16.07908959,108.22017881,google_maps_2116,Nhà Hàng Bếp Xưa,"{""confidence"":0.9306,""reasonCodes"":[""exact_name_threshold_edge"",""category_compatible""]}",,
MATCH:overture:overture:fae9a5b2-d2f4-48c9-b892-c41a870bc9e6,P2,strong_new_traveler_candidate,NEW_CANDIDATE,CREATE_NEW,overture,overture:fae9a5b2-d2f4-48c9-b892-c41a870bc9e6,,Mien Space,cafe,TRAVELER_RELEVANT,NEW_TIER_A_STRONG,16.06158434,108.22029163,google_maps_2291,Jam Space Café,"{""confidence"":0.5755,""reasonCodes"":[""no_credible_canonical_match""]}",,
